
2705256,6,12,29,2705261,2705256,
2705256,45,24,16,2705261,2705256,
2705256,14,31,41,2705261,2705256,
2705256,21,39,2,2705261,2705256,
2705261,34,26,27,2705266,2705261,
2705261,46,33,11,2705266,2705261,
2705261,43,7,37,2705266,2705261,
2705261,25,13,4,2705266,2705261,
2705266,3,18,36,2705271,2705266,
2705266,17,38,35,2705271,2705266,
2705266,40,23,5,2705271,2705266,
2705266,32,9,42,2705271,2705266,
2705271,48,10,47,2705274,2705271,
2705271,44,19,8,2705274,2705271,
2705271,1,30,28,2705274,2705271,
2705271,20,15,22,2705274,2705271,
