
234532,70,57,97,63,234537,234532,
234532,31,76,48,1,234537,234532,
234532,56,74,95,28,234537,234532,
234532,85,12,78,64,234537,234532,
234532,81,49,15,30,234537,234532,
234537,66,17,86,40,234542,234537,
234537,89,55,90,27,234542,234537,
234537,83,71,8,19,234542,234537,
234537,26,67,16,80,234542,234537,
234537,25,61,13,59,234542,234537,
234542,4,62,50,34,234547,234542,
234542,9,88,60,7,234547,234542,
234542,92,20,96,6,234547,234542,
234542,5,42,38,35,234547,234542,
234542,32,91,58,51,234547,234542,
234547,68,23,44,72,234552,234547,
234547,73,24,2,41,234552,234547,
234547,3,11,18,36,234552,234547,
234547,43,84,37,87,234552,234547,
234547,65,82,22,47,234552,234547,
234552,75,69,79,94,234555,234552,
234552,54,33,46,10,234555,234552,
234552,52,29,93,14,234555,234552,
234552,77,53,98,99,234555,234552,
234552,45,39,21,100,234555,234552,
