ReefID,X,Y,ClusterID,,kMeansIters,10000000,,W_MS,2,,W_D,2
5,64,62,0
25,68,53,0
19,99,67,0
23,64,73,0
13,82,92,0
27,57,62,0
4,58,78,0
8,91,61,0
15,95,18,0
20,94,35,0
44,76,66,0
1,67,41,0
42,54,84,1
38,50,70,1
11,4,91,1
33,6,88,1
3,24,69,1
7,27,81,1
17,38,71,1
9,42,95,1
32,42,90,1
40,48,93,1
35,48,64,1
37,29,90,1
10,36,27,2
26,44,47,2
30,78,29,2
28,59,37,2
29,41,23,2
12,53,2,2
31,35,16,2
46,39,44,2
34,42,40,2
22,33,22,2
6,45,5,2
48,38,37,2
16,26,47,3
41,23,29,3
39,1,6,3
24,11,41,3
21,11,3,3
14,16,21,3
43,40,56,3
47,23,26,3
45,8,31,3
18,12,69,3
2,0,34,3
36,5,46,3
