
195480,51,36,72,71,195485,195480,
195480,31,67,65,1,195485,195480,
195480,99,2,28,8,195485,195480,
195480,98,85,74,69,195485,195480,
195480,100,14,29,76,195485,195480,
195485,5,55,61,23,195490,195485,
195485,91,32,40,38,195490,195485,
195485,13,84,42,4,195490,195485,
195485,25,64,44,27,195490,195485,
195485,92,19,90,86,195490,195485,
195490,89,33,54,18,195495,195490,
195490,59,37,88,12,195495,195490,
195490,30,57,79,78,195495,195490,
195490,97,83,52,46,195495,195490,
195490,80,17,3,26,195495,195490,
195495,70,53,77,22,195500,195495,
195495,34,7,63,94,195500,195495,
195495,9,45,39,41,195500,195495,
195495,16,24,21,56,195500,195495,
195495,66,43,62,48,195500,195495,
195500,75,96,15,6,195503,195500,
195500,35,58,60,11,195503,195500,
195500,50,10,73,47,195503,195500,
195500,68,87,82,93,195503,195500,
195500,95,20,49,81,195503,195500,
