
16127,2,36,73,24,67,16132,16127,
16127,16,48,34,46,26,16132,16127,
16127,43,62,68,3,58,16132,16127,
16127,66,18,54,33,87,16132,16127,
16132,17,91,7,37,86,16137,16132,
16132,35,80,38,4,23,16137,16132,
16132,32,84,9,40,42,16137,16132,
16132,11,60,88,13,59,16137,16132,
16137,27,5,63,25,64,16142,16137,
16137,44,90,55,8,71,16142,16137,
16137,72,92,89,83,97,16142,16137,
16137,61,19,20,1,52,16142,16137,
16142,30,57,95,28,65,16147,16142,
16142,49,75,96,15,69,16147,16142,
16142,78,81,74,12,85,16147,16142,
16142,79,94,6,56,76,16147,16142,
16147,29,50,10,82,22,16150,16147,
16147,93,31,70,77,53,16150,16147,
16147,47,41,51,45,14,16150,16147,
16147,98,99,100,39,21,16150,16147,
