
2481,21,98,99,100,14,2486,2481,
2481,36,51,82,56,93,2486,2481,
2486,10,50,34,65,29,2491,2486,
2486,48,67,45,53,70,2491,2486,
2491,22,31,77,6,85,2496,2491,
2491,12,74,79,69,95,2496,2491,
2496,78,81,76,57,30,2501,2496,
2496,94,49,75,20,83,2501,2496,
2501,28,26,46,43,62,2506,2501,
2501,15,96,25,63,35,2506,2501,
2506,64,97,72,71,44,2511,2506,
2506,1,52,27,5,19,2511,2506,
2511,89,92,8,90,55,2516,2511,
2511,59,61,13,88,80,2516,2511,
2516,23,4,42,38,17,2521,2516,
2516,66,68,3,87,7,2521,2516,
2521,32,9,84,86,91,2526,2521,
2521,40,37,60,11,33,2526,2521,
2526,58,54,18,73,24,2529,2526,
2526,16,41,47,2,39,2529,2526,
