
1941,14,51,45,2,24,1946,1941,
1941,67,16,46,26,66,1946,1941,
1941,43,62,68,3,58,1946,1941,
1941,44,80,35,7,87,1946,1941,
1946,60,88,37,91,17,1951,1946,
1946,9,40,42,4,38,1951,1946,
1946,18,54,33,11,84,1951,1946,
1946,73,10,32,13,23,1951,1946,
1951,27,5,25,64,72,1956,1951,
1951,59,90,55,19,8,1956,1951,
1951,89,20,96,30,1,1956,1951,
1951,86,61,92,83,97,1956,1951,
1956,75,15,49,57,95,1961,1956,
1956,71,63,28,78,81,1961,1956,
1956,74,12,85,6,76,1961,1956,
1956,69,79,94,53,70,1961,1956,
1961,56,29,82,22,31,1964,1961,
1961,65,34,48,50,93,1964,1961,
1961,52,41,47,100,99,1964,1961,
1961,77,98,21,39,36,1964,1961,
