
257712,100,51,67,46,26,257717,257712,
257712,2,45,41,22,10,257717,257712,
257712,39,21,98,77,70,257717,257712,
257712,99,53,93,29,50,257717,257712,
257717,34,43,58,4,72,257722,257717,
257717,47,14,3,68,62,257722,257717,
257717,78,75,97,8,55,257722,257717,
257717,82,31,74,30,64,257722,257717,
257722,95,20,71,90,44,257727,257722,
257722,17,88,60,11,33,257727,257722,
257722,57,85,6,56,48,257727,257722,
257722,89,92,19,25,66,257727,257722,
257727,7,37,86,91,35,257732,257727,
257727,65,94,79,69,49,257732,257727,
257727,24,73,36,54,87,257732,257727,
257727,52,28,1,63,5,257732,257727,
257732,61,13,40,9,16,257735,257732,
257732,27,42,32,84,18,257735,257732,
257732,80,38,23,59,76,257735,257732,
257732,83,96,15,81,12,257735,257732,
