
257712,99,77,70,93,29,257717,257712,
257712,39,100,22,10,50,257717,257712,
257712,2,45,67,46,26,257717,257712,
257712,21,98,53,51,41,257717,257712,
257717,3,58,68,62,43,257722,257717,
257717,82,31,14,47,34,257722,257717,
257717,74,78,75,30,64,257722,257717,
257717,97,72,8,55,4,257722,257717,
257722,57,20,89,92,19,257727,257722,
257722,25,71,90,44,66,257727,257722,
257722,17,88,60,11,33,257727,257722,
257722,95,85,6,56,48,257727,257722,
257727,65,28,1,63,5,257732,257727,
257727,91,7,37,86,35,257732,257727,
257727,52,94,79,69,49,257732,257727,
257727,24,73,36,54,87,257732,257727,
257732,27,42,40,9,84,257735,257732,
257732,23,59,13,61,76,257735,257732,
257732,83,96,15,81,12,257735,257732,
257732,80,38,32,18,16,257735,257732,
