
2473,39,21,98,53,77,2478,2473,
2473,2,36,73,51,47,2478,2473,
2478,31,93,82,10,76,2483,2478,
2478,22,41,18,87,3,2483,2478,
2483,26,4,23,59,44,2488,2483,
2483,34,46,91,86,66,2488,2483,
2488,81,56,65,1,83,2493,2488,
2488,95,74,12,29,50,2493,2488,
2493,15,69,79,94,78,2498,2493,
2493,30,57,28,52,64,2498,2493,
2498,71,72,97,25,63,2503,2498,
2498,89,20,96,75,49,2503,2498,
2503,27,80,35,38,17,2508,2503,
2503,90,55,61,13,40,2508,2503,
2508,42,19,92,8,5,2513,2508,
2508,32,9,84,37,7,2513,2508,
2513,58,68,62,43,16,2518,2513,
2513,88,60,11,33,54,2518,2513,
2518,67,48,85,6,70,2521,2518,
2518,24,45,14,99,100,2521,2518,
