ReefID,X,Y,ClusterID,,kMeansIters,1000
63,67,55,0
34,42,40,0
16,26,47,0
67,24,41,0
46,39,44,0
85,50,2,0
52,58,39,0
81,59,10,0
93,38,18,0
10,36,27,0
62,36,61,1
43,40,56,1
90,84,68,1
26,44,47,1
35,48,64,1
3,24,69,1
73,9,45,1
50,41,29,1
66,50,50,1
14,16,21,1
21,11,3,2
65,52,31,2
6,45,5,2
70,37,7,2
78,68,13,2
77,30,6,2
57,72,24,2
56,45,21,2
29,41,23,2
31,35,16,2
4,58,78,3
7,27,81,3
88,21,96,3
40,48,93,3
37,29,90,3
58,29,70,3
11,4,91,3
84,41,95,3
33,6,88,3
60,12,97,3
41,23,29,4
99,17,10,4
22,33,22,4
98,21,7,4
45,8,31,4
48,38,37,4
47,23,26,4
24,11,41,4
100,14,13,4
39,1,6,4
2,0,34,5
91,34,81,5
53,30,4,5
54,6,77,5
18,12,69,5
17,38,71,5
68,30,66,5
36,5,46,5
87,20,74,5
51,15,33,5
61,90,86,6
72,83,53,6
71,87,57,6
64,74,55,6
8,91,61,6
5,64,62,6
15,95,18,6
19,99,67,6
92,99,53,6
44,76,66,6
1,67,41,7
28,59,37,7
82,37,24,7
74,58,9,7
30,78,29,7
76,46,22,7
25,68,53,7
95,67,27,7
49,82,18,7
83,83,48,7
9,42,95,8
32,42,90,8
13,82,92,8
38,50,70,8
80,55,62,8
86,36,91,8
42,54,84,8
59,73,77,8
27,57,62,8
23,64,73,8
69,91,7,9
75,88,21,9
55,86,73,9
94,88,0,9
79,91,0,9
96,93,28,9
97,83,48,9
12,53,2,9
89,99,48,9
20,94,35,9
