
2182299,31,12,1,2182304,2182299,
2182299,8,19,13,2182304,2182299,
2182299,29,10,26,2182304,2182299,
2182299,30,15,20,2182304,2182299,
2182304,25,28,17,2182309,2182304,
2182304,40,9,32,2182309,2182304,
2182304,5,23,35,2182309,2182304,
2182304,44,4,42,2182309,2182304,
2182309,7,3,43,2182314,2182309,
2182309,37,11,33,2182314,2182309,
2182309,18,2,46,2182314,2182309,
2182309,38,27,34,2182314,2182309,
2182314,22,6,39,2182317,2182314,
2182314,16,47,21,2182317,2182314,
2182314,48,41,14,2182317,2182314,
2182314,24,36,45,2182317,2182314,
