
1132122,2,36,17,1132127,1132122,
1132122,12,26,43,1132127,1132122,
1132122,39,21,41,1132127,1132122,
1132122,47,22,29,1132127,1132122,
1132127,1,25,38,1132132,1132127,
1132127,34,28,27,1132132,1132127,
1132127,8,19,23,1132132,1132127,
1132127,40,13,44,1132132,1132127,
1132132,32,9,37,1132137,1132132,
1132132,4,42,3,1132137,1132132,
1132132,20,15,30,1132137,1132132,
1132132,5,35,46,1132137,1132132,
1132137,16,10,14,1132140,1132137,
1132137,48,6,31,1132140,1132137,
1132137,7,24,45,1132140,1132137,
1132137,33,11,18,1132140,1132137,
