
2789445,6,12,31,2789450,2789445,
2789445,14,47,41,2789450,2789445,
2789445,45,2,24,2789450,2789445,
2789445,39,21,22,2789450,2789445,
2789450,16,46,26,2789455,2789450,
2789450,18,33,11,2789455,2789450,
2789450,36,3,17,2789455,2789450,
2789450,7,37,32,2789455,2789450,
2789455,4,23,44,2789460,2789455,
2789455,43,35,27,2789460,2789455,
2789455,38,5,25,2789460,2789455,
2789455,9,40,42,2789460,2789455,
2789460,34,48,10,2789463,2789460,
2789460,13,19,8,2789463,2789460,
2789460,1,28,29,2789463,2789460,
2789460,20,15,30,2789463,2789460,
