
1114293,6,22,10,1114298,1114293,
1114293,11,37,26,1114298,1114293,
1114293,2,36,24,1114298,1114293,
1114293,39,21,29,1114298,1114293,
1114298,42,19,44,1114303,1114298,
1114298,31,12,28,1114303,1114298,
1114298,1,15,20,1114303,1114298,
1114298,46,43,4,1114303,1114298,
1114303,25,5,38,1114308,1114303,
1114303,27,3,18,1114308,1114303,
1114303,13,9,17,1114308,1114303,
1114303,30,8,35,1114308,1114303,
1114308,34,48,47,1114311,1114308,
1114308,16,45,14,1114311,1114308,
1114308,23,40,32,1114311,1114308,
1114308,7,33,41,1114311,1114308,
