ReefID,X,Y,ClusterID,,kMeansIters,1,,W_MS,1,,W_D,1
30,78,29,3
18,12,69,3
12,53,2,3
40,48,93,3
4,58,78,3
20,94,35,3
9,42,95,3
22,33,22,3
6,45,5,3
15,95,18,3
8,91,61,3
36,5,46,3
1,67,41,0
46,39,44,0
16,26,47,0
29,41,23,0
28,59,37,0
10,36,27,0
45,8,31,0
32,42,90,0
37,29,90,0
7,27,81,0
13,82,92,0
31,35,16,0
42,54,84,2
19,99,67,2
44,76,66,2
38,50,70,2
33,6,88,2
23,64,73,2
11,4,91,2
25,68,53,2
5,64,62,2
35,48,64,2
27,57,62,2
17,38,71,2
24,11,41,1
34,42,40,1
39,1,6,1
3,24,69,1
48,38,37,1
21,11,3,1
14,16,21,1
26,44,47,1
41,23,29,1
47,23,26,1
2,0,34,1
43,40,56,1
