
14997253,31,22,10,14997258,14997253,
14997253,29,48,34,14997258,14997253,
14997253,6,12,28,14997258,14997253,
14997253,46,26,30,14997258,14997253,
14997258,1,25,5,14997263,14997258,
14997258,27,23,4,14997263,14997258,
14997258,8,19,44,14997263,14997258,
14997258,15,20,13,14997263,14997258,
14997263,38,35,17,14997268,14997263,
14997263,42,40,9,14997268,14997263,
14997263,32,37,7,14997268,14997263,
14997263,11,33,3,14997268,14997263,
14997268,16,24,36,14997271,14997268,
14997268,43,18,2,14997271,14997268,
14997268,41,47,14,14997271,14997268,
14997268,45,39,21,14997271,14997268,
