
1049109,45,47,41,1049114,1049109,
1049109,48,46,43,1049114,1049109,
1049109,39,42,38,1049114,1049109,
1049109,37,40,44,1049114,1049109,
1049114,35,4,5,1049119,1049114,
1049114,3,7,9,1049119,1049114,
1049114,10,6,12,1049119,1049114,
1049114,2,11,8,1049119,1049114,
1049119,26,34,29,1049124,1049119,
1049119,27,25,1,1049124,1049119,
1049119,31,30,28,1049124,1049119,
1049119,32,33,36,1049124,1049119,
1049124,16,24,14,1049127,1049124,
1049124,17,18,22,1049127,1049124,
1049124,23,13,19,1049127,1049124,
1049124,20,15,21,1049127,1049124,
