
3262609,39,21,47,3262614,3262609,
3262609,11,33,18,3262614,3262609,
3262609,14,22,10,3262614,3262609,
3262609,2,45,41,3262614,3262609,
3262614,31,6,12,3262619,3262614,
3262614,46,43,35,3262619,3262614,
3262614,48,34,26,3262619,3262614,
3262614,24,36,16,3262619,3262614,
3262619,38,27,5,3262624,3262619,
3262619,3,7,37,3262624,3262619,
3262619,32,9,40,3262624,3262619,
3262619,23,13,44,3262624,3262619,
3262624,4,42,17,3262627,3262624,
3262624,25,28,29,3262627,3262624,
3262624,19,8,1,3262627,3262624,
3262624,20,15,30,3262627,3262624,
