
1636956,45,47,12,1636961,1636956,
1636956,14,41,16,1636961,1636956,
1636956,18,11,32,1636961,1636956,
1636956,48,34,43,1636961,1636956,
1636961,36,40,4,1636966,1636961,
1636961,31,44,5,1636966,1636961,
1636961,17,42,27,1636966,1636961,
1636961,9,13,8,1636966,1636961,
1636966,28,29,26,1636971,1636966,
1636966,20,15,30,1636971,1636966,
1636966,25,19,1,1636971,1636966,
1636966,23,37,33,1636971,1636966,
1636971,35,3,2,1636974,1636971,
1636971,38,7,24,1636974,1636971,
1636971,6,21,39,1636974,1636971,
1636971,46,10,22,1636974,1636971,
