
190670,67,73,17,52,190675,190670,
190670,98,29,50,26,190675,190670,
190670,74,75,71,66,190675,190670,
190670,100,53,94,79,190675,190670,
190670,39,21,77,15,190675,190670,
190675,92,61,13,4,190680,190675,
190675,20,55,27,16,190680,190675,
190675,69,89,8,90,190680,190675,
190675,76,82,62,88,190680,190675,
190675,35,87,91,84,190680,190675,
190680,32,37,58,68,190685,190680,
190680,42,86,60,18,190685,190680,
190680,9,40,59,44,190685,190680,
190680,38,54,99,70,190685,190680,
190680,7,11,33,3,190685,190680,
190685,5,46,85,12,190690,190685,
190685,30,49,57,95,190690,190685,
190685,80,63,64,97,190690,190685,
190685,43,48,22,31,190690,190685,
190685,23,83,96,81,190690,190685,
190690,6,41,36,45,190693,190690,
190690,10,47,2,14,190693,190690,
190690,65,34,93,51,190693,190690,
190690,72,19,25,24,190693,190690,
190690,28,1,78,56,190693,190690,
