
2453,45,2,36,24,47,2458,2453,
2453,29,26,3,54,18,2458,2453,
2458,16,46,67,51,73,2463,2458,
2458,31,48,34,66,86,2463,2458,
2463,68,17,58,87,7,2468,2463,
2463,33,11,60,88,32,2468,2463,
2468,91,37,84,9,40,2473,2468,
2468,62,35,38,80,5,2473,2468,
2473,42,4,23,59,44,2478,2473,
2473,27,13,55,83,1,2478,2473,
2478,97,72,8,19,89,2483,2478,
2478,25,94,69,15,20,2483,2478,
2483,30,57,49,78,95,2488,2483,
2483,90,92,96,75,79,2488,2483,
2488,28,65,6,93,76,2493,2488,
2488,71,61,64,74,53,2493,2488,
2493,50,10,82,56,85,2498,2493,
2493,52,63,43,14,12,2498,2493,
2498,22,41,100,99,98,2501,2498,
2498,81,70,77,21,39,2501,2498,
