ReefID,X,Y,ClusterID,,kMeansIters,1,,W_MS,1,,W_D,1
36,5,46,3
10,36,27,3
14,16,21,3
24,11,41,3
45,8,31,3
46,39,44,3
39,1,6,3
41,23,29,3
2,0,34,3
16,26,47,3
47,23,26,3
21,11,3,3
20,94,35,0
40,48,93,0
9,42,95,0
42,54,84,0
32,42,90,0
3,24,69,0
15,95,18,0
37,29,90,0
43,40,56,0
44,76,66,0
7,27,81,0
17,38,71,0
12,53,2,2
38,50,70,2
23,64,73,2
27,57,62,2
28,59,37,2
13,82,92,2
35,48,64,2
4,58,78,2
5,64,62,2
6,45,5,2
19,99,67,2
8,91,61,2
30,78,29,1
34,42,40,1
25,68,53,1
11,4,91,1
29,41,23,1
31,35,16,1
18,12,69,1
22,33,22,1
33,6,88,1
26,44,47,1
1,67,41,1
48,38,37,1
